بِسْمِ اللَّٰهِ الرَّحْمَـٰنِ الرَّحِيمِ || bi <wasl> s mi <space> <wasl> l laa hi <space> <wasl> r ra ħ maa ni <space> <wasl> r ra ħii mi
كَذَٰلِكَ يُبَيِّنُ اللَّٰهُ لَكُمْ آيَاتِهِ لَعَلَّكُمْ تَعْقِلُونَ || ka ðaa li ka <space> yu ba y yi nu <space> <wasl> l laa hu <space> la ku m <space> ʔaa yaa ti hii <space> la ʕa l la ku m <space> ta ʕ qi luu na
أَلَمْ تَرَ إِلَى الَّذِينَ خَرَجُوا مِن دِيَارِهِمْ وَهُمْ أُلُوفٌ حَذَرَ الْمَوْتِ فَقَالَ لَهُمُ اللَّٰهُ مُوتُوا ثُمَّ أَحْيَاهُمْ ۚ إِنَّ اللَّٰهَ لَذُو فَضْلٍ عَلَى النَّاسِ وَلَـٰكِنَّ أَكْثَرَ النَّاسِ لَا يَشْكُرُونَ || ʔa la m <space> ta ra <space> ʔi laa <space> <wasl> l la ðii na <space> xa ra juu <space> mi n <space> di yaa ri hi m <space> wa hu m <space> ʔu luu fun <space> ħa ða ra <space> <wasl> l ma w ti <space> fa qaa la <space> la hu mu <space> <wasl> l laa hu <space> muu tuu <space> θu m ma <space> ʔa ħ yaa hu m <space> ʔi n na <space> <wasl> l laa ha <space> la ðuu <space> fa dˤ lin <space> ʕa laa <space> <wasl> n naa si <space> wa laa ki n na <space> ʔa k θa ra <space> <wasl> n naa si <space> laa <space> ya ʃ ku ruu na
وَقَاتِلُوا فِي سَبِيلِ اللَّٰهِ وَاعْلَمُوا أَنَّ اللَّٰهَ سَمِيعٌ عَلِيمٌ || wa qaa ti luu <space> fii <space> sa bii li <space> <wasl> l laa hi <space> wa <wasl> ʕ la muu <space> ʔa n na <space> <wasl> l laa ha <space> sa mii ʕun <space> ʕa lii mun
مَّن ذَا الَّذِي يُقْرِضُ اللَّٰهَ قَرْضًا حَسَنًا فَيُضَاعِفَهُ لَهُ أَضْعَافًا كَثِيرَةً ۚ وَاللَّٰهُ يَقْبِضُ وَيَبْسُطُ وَإِلَيْهِ تُرْجَعُونَ || m ma n <space> ðaa <space> <wasl> l la ðii <space> yu q ri dˤu <space> <wasl> l laa ha <space> qa r dˤan <space> ħa sa nan <space> fa yu dˤaa ʕi fa huu <space> la huu <space> ʔa dˤ ʕaa fan <space> ka θii ra Tan <space> wa <wasl> l laa hu <space> ya q bi dˤu <space> wa ya b su tˤu <space> wa ʔi la y hi <space> tu r ja ʕuu na
أَلَمْ تَرَ إِلَى الْمَلَإِ مِن بَنِي إِسْرَائِيلَ مِن بَعْدِ مُوسَىٰ إِذْ قَالُوا لِنَبِيٍّ لَّهُمُ ابْعَثْ لَنَا مَلِكًا نُّقَاتِلْ فِي سَبِيلِ اللَّٰهِ ۖ قَالَ هَلْ عَسَيْتُمْ إِن كُتِبَ عَلَيْكُمُ الْقِتَالُ أَلَّا تُقَاتِلُوا ۖ قَالُوا وَمَا لَنَا أَلَّا نُقَاتِلَ فِي سَبِيلِ اللَّٰهِ وَقَدْ أُخْرِجْنَا مِن دِيَارِنَا وَأَبْنَائِنَا ۖ فَلَمَّا كُتِبَ عَلَيْهِمُ الْقِتَالُ تَوَلَّوْا إِلَّا قَلِيلًا مِّنْهُمْ ۗ وَاللَّٰهُ عَلِيمٌ بِالظَّالِمِينَ || ʔa la m <space> ta ra <space> ʔi laa <space> <wasl> l ma la ʔi <space> mi n <space> ba nii <space> ʔi s raa ʔii la <space> mi n <space> ba ʕ di <space> muu saa <space> ʔi ð <space> qaa luu <space> li na bi y yin <space> l la hu mu <space> <wasl> b ʕa θ <space> la naa <space> ma li kan <space> n nu qaa ti l <space> fii <space> sa bii li <space> <wasl> l laa hi <space> qaa la <space> ha l <space> ʕa sa y tu m <space> ʔi n <space> ku ti ba <space> ʕa la y ku mu <space> <wasl> l qi taa lu <space> ʔa l laa <space> tu qaa ti luu <space> qaa luu <space> wa maa <space> la naa <space> ʔa l laa <space> nu qaa ti la <space> fii <space> sa bii li <space> <wasl> l laa hi <space> wa qa d <space> ʔu x ri j naa <space> mi n <space> di yaa ri naa <space> wa ʔa b naa ʔi naa <space> fa la m maa <space> ku ti ba <space> ʕa la y hi mu <space> <wasl> l qi taa lu <space> ta wa l la w <space> ʔi l laa <space> qa lii lan <space> m mi n hu m <space> wa <wasl> l laa hu <space> ʕa lii mun <space> bi <wasl> ðˤ ðˤaa li mii na
وَقَالَ لَهُمْ نَبِيُّهُمْ إِنَّ اللَّٰهَ قَدْ بَعَثَ لَكُمْ طَالُوتَ مَلِكًا ۚ قَالُوا أَنَّىٰ يَكُونُ لَهُ الْمُلْكُ عَلَيْنَا وَنَحْنُ أَحَقُّ بِالْمُلْكِ مِنْهُ وَلَمْ يُؤْتَ سَعَةً مِّنَ الْمَالِ ۚ قَالَ إِنَّ اللَّٰهَ اصْطَفَاهُ عَلَيْكُمْ وَزَادَهُ بَسْطَةً فِي الْعِلْمِ وَالْجِسْمِ ۖ وَاللَّٰهُ يُؤْتِي مُلْكَهُ مَن يَشَاءُ ۚ وَاللَّٰهُ وَاسِعٌ عَلِيمٌ || wa qaa la <space> la hu m <space> na bi y yu hu m <space> ʔi n na <space> <wasl> l laa ha <space> qa d <space> ba ʕa θa <space> la ku m <space> tˤaa luu ta <space> ma li kan <space> qaa luu <space> ʔa n naa <space> ya kuu nu <space> la hu <space> <wasl> l mu l ku <space> ʕa la y naa <space> wa na ħ nu <space> ʔa ħa q qu <space> bi <wasl> l mu l ki <space> mi n hu <space> wa la m <space> yu ʔ ta <space> sa ʕa Tan <space> m mi na <space> <wasl> l maa li <space> qaa la <space> ʔi n na <space> <wasl> l laa ha <space> <wasl> sˤ tˤa faa hu <space> ʕa la y ku m <space> wa zaa da huu <space> ba s tˤa Tan <space> fii <space> <wasl> l ʕi l mi <space> wa <wasl> l ji s mi <space> wa <wasl> l laa hu <space> yu ʔ ti yii <space> mu l ka huu <space> ma n <space> ya ʃaa ʔu <space> wa <wasl> l laa hu <space> waa si ʕun <space> ʕa lii mun
وَقَالَ لَهُمْ نَبِيُّهُمْ إِنَّ آيَةَ مُلْكِهِ أَن يَأْتِيَكُمُ التَّابُوتُ فِيهِ سَكِينَةٌ مِّن رَّبِّكُمْ وَبَقِيَّةٌ مِّمَّا تَرَكَ آلُ مُوسَىٰ وَآلُ هَارُونَ تَحْمِلُهُ الْمَلَائِكَةُ ۚ إِنَّ فِي ذَٰلِكَ لَآيَةً لَّكُمْ إِن كُنتُم مُّؤْمِنِينَ || wa qaa la <space> la hu m <space> na bi y yu hu m <space> ʔi n na <space> ʔaa ya Ta <space> mu l ki hii <space> ʔa n <space> ya ʔ ti ya ku mu <space> <wasl> t taa buu tu <space> fii hi <space> sa kii na Tun <space> m mi n <space> r ra b bi ku m <space> wa ba qi y ya Tun <space> m mi m maa <space> ta ra ka <space> ʔaa lu <space> muu saa <space> wa ʔaa lu <space> haa ruu na <space> ta ħ mi lu hu <space> <wasl> l ma laa ʔi ka Tu <space> ʔi n na <space> fii <space> ðaa li ka <space> la ʔaa ya Tan <space> l la ku m <space> ʔi n <space> ku n tu m <space> m mu ʔ mi nii na
فَلَمَّا فَصَلَ طَالُوتُ بِالْجُنُودِ قَالَ إِنَّ اللَّٰهَ مُبْتَلِيكُم بِنَهَرٍ فَمَن شَرِبَ مِنْهُ فَلَيْسَ مِنِّي وَمَن لَّمْ يَطْعَمْهُ فَإِنَّهُ مِنِّي إِلَّا مَنِ اغْتَرَفَ غُرْفَةً بِيَدِهِ ۚ فَشَرِبُوا مِنْهُ إِلَّا قَلِيلًا مِّنْهُمْ ۚ فَلَمَّا جَاوَزَهُ هُوَ وَالَّذِينَ آمَنُوا مَعَهُ قَالُوا لَا طَاقَةَ لَنَا الْيَوْمَ بِجَالُوتَ وَجُنُودِهِ ۚ قَالَ الَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَاقُو اللَّٰهِ كَم مِّن فِئَةٍ قَلِيلَةٍ غَلَبَتْ فِئَةً كَثِيرَةً بِإِذْنِ اللَّٰهِ ۗ وَاللَّٰهُ مَعَ الصَّابِرِينَ || fa la m maa <space> fa sˤa la <space> tˤaa luu tu <space> bi <wasl> l ju nuu di <space> qaa la <space> ʔi n na <space> <wasl> l laa ha <space> mu b ta lii ku m <space> bi na ha rin <space> fa ma n <space> ʃa ri ba <space> mi n hu <space> fa la y sa <space> mi n nii <space> wa ma n <space> l la m <space> ya tˤ ʕa m hu <space> fa ʔi n na huu <space> mi n nii <space> ʔi l laa <space> ma ni <space> <wasl> ɣ ta ra fa <space> ɣu r fa Tan <space> bi ya di hii <space> fa ʃa ri buu <space> mi n hu <space> ʔi l laa <space> qa lii lan <space> m mi n hu m <space> fa la m maa <space> jaa wa za huu <space> hu wa <space> wa <wasl> l la ðii na <space> ʔaa ma nuu <space> ma ʕa huu <space> qaa luu <space> laa <space> tˤaa qa Ta <space> la naa <space> <wasl> l ya w ma <space> bi jaa luu ta <space> wa ju nuu di hii <space> qaa la <space> <wasl> l la ðii na <space> ya ðˤu n nuu na <space> ʔa n na hu m <space> m mu laa quu <space> <wasl> l laa hi <space> ka m <space> m mi n <space> fi ʔa Tin <space> qa lii la Tin <space> ɣa la ba t <space> fi ʔa Tan <space> ka θii ra Tan <space> bi ʔi ð ni <space> <wasl> l laa hi <space> wa <wasl> l laa hu <space> ma ʕa <space> <wasl> sˤ sˤaa bi rii na
وَلَمَّا بَرَزُوا لِجَالُوتَ وَجُنُودِهِ قَالُوا رَبَّنَا أَفْرِغْ عَلَيْنَا صَبْرًا وَثَبِّتْ أَقْدَامَنَا وَانصُرْنَا عَلَى الْقَوْمِ الْكَافِرِينَ || wa la m maa <space> ba ra zuu <space> li jaa luu ta <space> wa ju nuu di hii <space> qaa luu <space> ra b ba naa <space> ʔa f ri ɣ <space> ʕa la y naa <space> sˤa b ran <space> wa θa b bi t <space> ʔa q daa ma naa <space> waa n sˤu r naa <space> ʕa laa <space> <wasl> l qa w mi <space> <wasl> l kaa fi rii na
فَهَزَمُوهُم بِإِذْنِ اللَّٰهِ وَقَتَلَ دَاوُودُ جَالُوتَ وَآتَاهُ اللَّٰهُ الْمُلْكَ وَالْحِكْمَةَ وَعَلَّمَهُ مِمَّا يَشَاءُ ۗ وَلَوْلَا دَفْعُ اللَّٰهِ النَّاسَ بَعْضَهُم بِبَعْضٍ لَّفَسَدَتِ الْأَرْضُ وَلَـٰكِنَّ اللَّٰهَ ذُو فَضْلٍ عَلَى الْعَالَمِينَ || fa ha za muu hu m <space> bi ʔi ð ni <space> <wasl> l laa hi <space> wa qa ta la <space> daa wuu du <space> jaa luu ta <space> wa ʔaa taa hu <space> <wasl> l laa hu <space> <wasl> l mu l ka <space> wa <wasl> l ħi k ma Ta <space> wa ʕa l la ma huu <space> mi m maa <space> ya ʃaa ʔu <space> wa la w laa <space> da f ʕu <space> <wasl> l laa hi <space> <wasl> n naa sa <space> ba ʕ dˤa hu m <space> bi ba ʕ dˤin <space> l la fa sa da ti <space> <wasl> l ʔa r dˤu <space> wa laa ki n na <space> <wasl> l laa ha <space> ðuu <space> fa dˤ lin <space> ʕa laa <space> <wasl> l ʕaa la mii na
تِلْكَ آيَاتُ اللَّٰهِ نَتْلُوهَا عَلَيْكَ بِالْحَقِّ ۚ وَإِنَّكَ لَمِنَ الْمُرْسَلِينَ || ti l ka <space> ʔaa yaa tu <space> <wasl> l laa hi <space> na t luu haa <space> ʕa la y ka <space> bi <wasl> l ħa q qi <space> wa ʔi n na ka <space> la mi na <space> <wasl> l mu r sa lii na
تِلْكَ الرُّسُلُ فَضَّلْنَا بَعْضَهُمْ عَلَىٰ بَعْضٍ ۘ مِّنْهُم مَّن كَلَّمَ اللَّٰهُ ۖ وَرَفَعَ بَعْضَهُمْ دَرَجَاتٍ ۚ وَآتَيْنَا عِيسَى ابْنَ مَرْيَمَ الْبَيِّنَاتِ وَأَيَّدْنَاهُ بِرُوحِ الْقُدُسِ ۗ وَلَوْ شَاءَ اللَّٰهُ مَا اقْتَتَلَ الَّذِينَ مِن بَعْدِهِم مِّن بَعْدِ مَا جَاءَتْهُمُ الْبَيِّنَاتُ وَلَـٰكِنِ اخْتَلَفُوا فَمِنْهُم مَّنْ آمَنَ وَمِنْهُم مَّن كَفَرَ ۚ وَلَوْ شَاءَ اللَّٰهُ مَا اقْتَتَلُوا وَلَـٰكِنَّ اللَّٰهَ يَفْعَلُ مَا يُرِيدُ || ti l ka <space> <wasl> r ru su lu <space> fa dˤ dˤa l naa <space> ba ʕ dˤa hu m <space> ʕa laa <space> ba ʕ dˤin <space> m mi n hu m <space> m ma n <space> ka l la ma <space> <wasl> l laa hu <space> wa ra fa ʕa <space> ba ʕ dˤa hu m <space> da ra jaa tin <space> wa ʔaa ta y naa <space> ʕii saa <space> <wasl> b na <space> ma r ya ma <space> <wasl> l ba y yi naa ti <space> wa ʔa y ya d naa hu <space> bi ruu ħi <space> <wasl> l qu du si <space> wa la w <space> ʃaa ʔa <space> <wasl> l laa hu <space> maa <space> <wasl> q ta ta la <space> <wasl> l la ðii na <space> mi n <space> ba ʕ di hi m <space> m mi n <space> ba ʕ di <space> maa <space> jaa ʔa t hu mu <space> <wasl> l ba y yi naa tu <space> wa laa ki ni <space> <wasl> x ta la fuu <space> fa mi n hu m <space> m ma n <space> ʔaa ma na <space> wa mi n hu m <space> m ma n <space> ka fa ra <space> wa la w <space> ʃaa ʔa <space> <wasl> l laa hu <space> maa <space> <wasl> q ta ta luu <space> wa laa ki n na <space> <wasl> l laa ha <space> ya f ʕa lu <space> maa <space> yu rii du
يَا أَيُّهَا الَّذِينَ آمَنُوا أَنفِقُوا مِمَّا رَزَقْنَاكُم مِّن قَبْلِ أَن يَأْتِيَ يَوْمٌ لَّا بَيْعٌ فِيهِ وَلَا خُلَّةٌ وَلَا شَفَاعَةٌ ۗ وَالْكَافِرُونَ هُمُ الظَّالِمُونَ || yaa <space> ʔa y yu haa <space> <wasl> l la ðii na <space> ʔaa ma nuu <space> ʔa n fi quu <space> mi m maa <space> ra za q naa ku m <space> m mi n <space> qa b li <space> ʔa n <space> ya ʔ ti ya <space> ya w mun <space> l laa <space> ba y ʕun <space> fii hi <space> wa laa <space> xu l la Tun <space> wa laa <space> ʃa faa ʕa Tun <space> wa <wasl> l kaa fi ruu na <space> hu mu <space> <wasl> ðˤ ðˤaa li muu na
اللَّٰهُ لَا إِلَـٰهَ إِلَّا هُوَ الْحَيُّ الْقَيُّومُ ۚ لَا تَأْخُذُهُ سِنَةٌ وَلَا نَوْمٌ ۚ لَّهُ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ ۗ مَن ذَا الَّذِي يَشْفَعُ عِندَهُ إِلَّا بِإِذْنِهِ ۚ يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ ۖ وَلَا يُحِيطُونَ بِشَيْءٍ مِّنْ عِلْمِهِ إِلَّا بِمَا شَاءَ ۚ وَسِعَ كُرْسِيُّهُ السَّمَاوَاتِ وَالْأَرْضَ ۖ وَلَا يَئُودُهُ حِفْظُهُمَا ۚ وَهُوَ الْعَلِيُّ الْعَظِيمُ || <wasl> l laa hu <space> laa <space> ʔi laa ha <space> ʔi l laa <space> hu wa <space> <wasl> l ħa y yu <space> <wasl> l qa y yuu mu <space> laa <space> ta ʔ xu ðu huu <space> si na Tun <space> wa laa <space> na w mun <space> l la huu <space> maa <space> fii <space> <wasl> s sa maa waa ti <space> wa maa <space> fii <space> <wasl> l ʔa r dˤi <space> ma n <space> ðaa <space> <wasl> l la ðii <space> ya ʃ fa ʕu <space> ʕi n da huu <space> ʔi l laa <space> bi ʔi ð ni hii <space> ya ʕ la mu <space> maa <space> ba y na <space> ʔa y di yii hi m <space> wa maa <space> xa l fa hu m <space> wa laa <space> yu ħii tˤuu na <space> bi ʃa y ʔin <space> m mi n <space> ʕi l mi hii <space> ʔi l laa <space> bi maa <space> ʃaa ʔa <space> wa si ʕa <space> ku r si y yu hu <space> <wasl> s sa maa waa ti <space> wa <wasl> l ʔa r dˤa <space> wa laa <space> ya ʔuu du huu <space> ħi f ðˤu hu maa <space> wa hu wa <space> <wasl> l ʕa li y yu <space> <wasl> l ʕa ðˤii mu
لَا إِكْرَاهَ فِي الدِّينِ ۖ قَد تَّبَيَّنَ الرُّشْدُ مِنَ الْغَيِّ ۚ فَمَن يَكْفُرْ بِالطَّاغُوتِ وَيُؤْمِن بِاللَّٰهِ فَقَدِ اسْتَمْسَكَ بِالْعُرْوَةِ الْوُثْقَىٰ لَا انفِصَامَ لَهَا ۗ وَاللَّٰهُ سَمِيعٌ عَلِيمٌ || laa <space> ʔi k raa ha <space> fii <space> <wasl> d dii ni <space> qa d <space> t ta ba y ya na <space> <wasl> r ru ʃ du <space> mi na <space> <wasl> l ɣa y yi <space> fa ma n <space> ya k fu r <space> bi <wasl> tˤ tˤaa ɣuu ti <space> wa yu ʔ mi n <space> bi <wasl> l laa hi <space> fa qa di <space> <wasl> s ta m sa ka <space> bi <wasl> l ʕu r wa Ti <space> l wu θ qaa <space> laa <space> <wasl> n fi sˤaa ma <space> la haa <space> wa <wasl> l laa hu <space> sa mii ʕun <space> ʕa lii mun
اللَّٰهُ وَلِيُّ الَّذِينَ آمَنُوا يُخْرِجُهُم مِّنَ الظُّلُمَاتِ إِلَى النُّورِ ۖ وَالَّذِينَ كَفَرُوا أَوْلِيَاؤُهُمُ الطَّاغُوتُ يُخْرِجُونَهُم مِّنَ النُّورِ إِلَى الظُّلُمَاتِ ۗ أُولَـٰئِكَ أَصْحَابُ النَّارِ ۖ هُمْ فِيهَا خَالِدُونَ || <wasl> l laa hu <space> wa li y yu <space> <wasl> l la ðii na <space> ʔaa ma nuu <space> yu x ri ju hu m <space> m mi na <space> <wasl> ðˤ ðˤu lu maa ti <space> ʔi laa <space> <wasl> n nuu ri <space> wa <wasl> l la ðii na <space> ka fa ruu <space> ʔa w li yaa ʔu hu mu <space> <wasl> tˤ tˤaa ɣuu tu <space> yu x ri juu na hu m <space> m mi na <space> <wasl> n nuu ri <space> ʔi laa <space> <wasl> ðˤ ðˤu lu maa ti <space> ʔuu laa ʔi ka <space> ʔa sˤ ħaa bu <space> <wasl> n naa ri <space> hu m <space> fii haa <space> xaa li duu na
أَلَمْ تَرَ إِلَى الَّذِي حَاجَّ إِبْرَاهِيمَ فِي رَبِّهِ أَنْ آتَاهُ اللَّٰهُ الْمُلْكَ إِذْ قَالَ إِبْرَاهِيمُ رَبِّيَ الَّذِي يُحْيِي وَيُمِيتُ قَالَ أَنَا أُحْيِي وَأُمِيتُ ۖ قَالَ إِبْرَاهِيمُ فَإِنَّ اللَّٰهَ يَأْتِي بِالشَّمْسِ مِنَ الْمَشْرِقِ فَأْتِ بِهَا مِنَ الْمَغْرِبِ فَبُهِتَ الَّذِي كَفَرَ ۗ وَاللَّٰهُ لَا يَهْدِي الْقَوْمَ الظَّالِمِينَ || ʔa la m <space> ta ra <space> ʔi laa <space> <wasl> l la ðii <space> ħaa j ja <space> ʔi b raa hii ma <space> fii <space> ra b bi hii <space> ʔa n <space> ʔaa taa hu <space> <wasl> l laa hu <space> <wasl> l mu l ka <space> ʔi ð <space> qaa la <space> ʔi b raa hii mu <space> ra b bi ya <space> <wasl> l la ðii <space> yu ħ yi yii <space> wa yu mii tu <space> qaa la <space> ʔa naa <space> ʔu ħ yi yii <space> wa ʔu mii tu <space> qaa la <space> ʔi b raa hii mu <space> fa ʔi n na <space> <wasl> l laa ha <space> ya ʔ ti yii <space> bi <wasl> ʃ ʃa m si <space> mi na <space> <wasl> l ma ʃ ri qi <space> fa ʔ ti <space> bi haa <space> mi na <space> <wasl> l ma ɣ ri bi <space> fa bu hi ta <space> <wasl> l la ðii <space> ka fa ra <space> wa <wasl> l laa hu <space> laa <space> ya h di yii <space> <wasl> l qa w ma <space> <wasl> ðˤ ðˤaa li mii na
أَوْ كَالَّذِي مَرَّ عَلَىٰ قَرْيَةٍ وَهِيَ خَاوِيَةٌ عَلَىٰ عُرُوشِهَا قَالَ أَنَّىٰ يُحْيِي هَـٰذِهِ اللَّٰهُ بَعْدَ مَوْتِهَا ۖ فَأَمَاتَهُ اللَّٰهُ مِائَةَ عَامٍ ثُمَّ بَعَثَهُ ۖ قَالَ كَمْ لَبِثْتَ ۖ قَالَ لَبِثْتُ يَوْمًا أَوْ بَعْضَ يَوْمٍ ۖ قَالَ بَل لَّبِثْتَ مِائَةَ عَامٍ فَانظُرْ إِلَىٰ طَعَامِكَ وَشَرَابِكَ لَمْ يَتَسَنَّهْ ۖ وَانظُرْ إِلَىٰ حِمَارِكَ وَلِنَجْعَلَكَ آيَةً لِّلنَّاسِ ۖ وَانظُرْ إِلَى الْعِظَامِ كَيْفَ نُنشِزُهَا ثُمَّ نَكْسُوهَا لَحْمًا ۚ فَلَمَّا تَبَيَّنَ لَهُ قَالَ أَعْلَمُ أَنَّ اللَّٰهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ || ʔa w <space> ka <wasl> l la ðii <space> ma r ra <space> ʕa laa <space> qa r ya Tin <space> wa hi ya <space> xaa wi ya Tun <space> ʕa laa <space> ʕu ruu ʃi haa <space> qaa la <space> ʔa n naa <space> yu ħ yi yii <space> haa ði hi <space> <wasl> l laa hu <space> ba ʕ da <space> ma w ti haa <space> fa ʔa maa ta hu <space> <wasl> l laa hu <space> mi ʔa Ta <space> ʕaa min <space> θu m ma <space> ba ʕa θa huu <space> qaa la <space> ka m <space> la bi θ ta <space> qaa la <space> la bi θ tu <space> ya w man <space> ʔa w <space> ba ʕ dˤa <space> ya w min <space> qaa la <space> ba l <space> l la bi θ ta <space> mi ʔa Ta <space> ʕaa min <space> fa <wasl> n ðˤu r <space> ʔi laa <space> tˤa ʕaa mi ka <space> wa ʃa raa bi ka <space> la m <space> ya ta sa n na h <space> wa <wasl> n ðˤu r <space> ʔi laa <space> ħi maa ri ka <space> wa li na j ʕa la ka <space> ʔaa ya Tan <space> l li <wasl> n naa si <space> wa <wasl> n ðˤu r <space> ʔi laa <space> <wasl> l ʕi ðˤaa mi <space> ka y fa <space> nu n ʃi zu haa <space> θu m ma <space> na k suu haa <space> la ħ man <space> fa la m maa <space> ta ba y ya na <space> la huu <space> qaa la <space> ʔa ʕ la mu <space> ʔa n na <space> <wasl> l laa ha <space> ʕa laa <space> ku l li <space> ʃa y ʔin <space> qa dii run
وَإِذْ قَالَ إِبْرَاهِيمُ رَبِّ أَرِنِي كَيْفَ تُحْيِي الْمَوْتَىٰ ۖ قَالَ أَوَلَمْ تُؤْمِن ۖ قَالَ بَلَىٰ وَلَـٰكِن لِّيَطْمَئِنَّ قَلْبِي ۖ قَالَ فَخُذْ أَرْبَعَةً مِّنَ الطَّيْرِ فَصُرْهُنَّ إِلَيْكَ ثُمَّ اجْعَلْ عَلَىٰ كُلِّ جَبَلٍ مِّنْهُنَّ جُزْءًا ثُمَّ ادْعُهُنَّ يَأْتِينَكَ سَعْيًا ۚ وَاعْلَمْ أَنَّ اللَّٰهَ عَزِيزٌ حَكِيمٌ || wa ʔi ð <space> qaa la <space> ʔi b raa hii mu <space> ra b bi <space> ʔa ri nii <space> ka y fa <space> tu ħ yi yii <space> <wasl> l ma w taa <space> qaa la <space> ʔa wa la m <space> tu ʔ mi n <space> qaa la <space> ba laa <space> wa laa ki n <space> l li ya tˤ ma ʔi n na <space> qa l bi yii <space> qaa la <space> fa xu ð <space> ʔa r ba ʕa Tan <space> m mi na <space> <wasl> tˤ tˤa y ri <space> fa sˤu r hu n na <space> ʔi la y ka <space> θu m ma <space> <wasl> j ʕa l <space> ʕa laa <space> ku l li <space> ja ba lin <space> m mi n hu n na <space> ju z ʔan <space> θu m ma <space> <wasl> d ʕu hu n na <space> ya ʔ ti yii na ka <space> sa ʕ yan <space> wa <wasl> ʕ la m <space> ʔa n na <space> <wasl> l laa ha <space> ʕa zii zun <space> ħa kii mun
مَّثَلُ الَّذِينَ يُنفِقُونَ أَمْوَالَهُمْ فِي سَبِيلِ اللَّٰهِ كَمَثَلِ حَبَّةٍ أَنبَتَتْ سَبْعَ سَنَابِلَ فِي كُلِّ سُنبُلَةٍ مِّائَةُ حَبَّةٍ ۗ وَاللَّٰهُ يُضَاعِفُ لِمَن يَشَاءُ ۗ وَاللَّٰهُ وَاسِعٌ عَلِيمٌ || m ma θa lu <space> <wasl> l la ðii na <space> yu n fi quu na <space> ʔa m waa la hu m <space> fii <space> sa bii li <space> <wasl> l laa hi <space> ka ma θa li <space> ħa b ba Tin <space> ʔa n ba ta t <space> sa b ʕa <space> sa naa bi la <space> fii <space> ku l li <space> su n bu la Tin <space> m mi ʔa Tu <space> ħa b ba Tin <space> wa <wasl> l laa hu <space> yu dˤaa ʕi fu <space> li ma n <space> ya ʃaa ʔu <space> wa <wasl> l laa hu <space> waa si ʕun <space> ʕa lii mun
الَّذِينَ يُنفِقُونَ أَمْوَالَهُمْ فِي سَبِيلِ اللَّٰهِ ثُمَّ لَا يُتْبِعُونَ مَا أَنفَقُوا مَنًّا وَلَا أَذًى ۙ لَّهُمْ أَجْرُهُمْ عِندَ رَبِّهِمْ وَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ || <wasl> l la ðii na <space> yu n fi quu na <space> ʔa m waa la hu m <space> fii <space> sa bii li <space> <wasl> l laa hi <space> θu m ma <space> laa <space> yu t bi ʕuu na <space> maa <space> ʔa n fa quu <space> ma n nan <space> wa laa <space> ʔa ðan <space> l la hu m <space> ʔa j ru hu m <space> ʕi n da <space> ra b bi hi m <space> wa laa <space> xa w fun <space> ʕa la y hi m <space> wa laa <space> hu m <space> ya ħ za nuu na
قَوْلٌ مَّعْرُوفٌ وَمَغْفِرَةٌ خَيْرٌ مِّن صَدَقَةٍ يَتْبَعُهَا أَذًى ۗ وَاللَّٰهُ غَنِيٌّ حَلِيمٌ || qa w lun <space> m ma ʕ ruu fun <space> wa ma ɣ fi ra Tun <space> xa y run <space> m mi n <space> sˤa da qa Tin <space> ya t ba ʕu haa <space> ʔa ðan <space> wa <wasl> l laa hu <space> ɣa ni y yun <space> ħa lii mun
